no,title,date,url
213,2020학년도 2학기 교환학생/해외수학생 모집 안내,2020-01-07,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=77127&article.offset=0&articleLimit=10
212,[교환학생 장학금] ‘학생성공- Global Challenge 장학생’ 안내 (8분위로 확대),2019-10-22,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=75384&article.offset=0&articleLimit=10
211,2020학년도 2학기 파견 교환학생 설명회 및 해외 대학 홍보박람회(Student Mobility Fair),2019-10-18,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=75322&article.offset=0&articleLimit=10
210,미래에셋 교환학생 장학생 안내,2019-10-01,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=75019&article.offset=0&articleLimit=10
209,2020학년도 1학기 교환학생 2차 선발 안내,2019-08-20,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=74279&article.offset=0&articleLimit=10
208,2020-1학기 파견 교환학생 면접 시간 안내,2019-07-19,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=73649&article.offset=0&articleLimit=10
207,2020-1학기 파견 교환학생 선발 안내,2019-06-28,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=73250&article.offset=0&articleLimit=10
206,Institut Teknologi Bandung(ITB) 여름학기 단기 프로그램 안내,2019-06-25,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=73178&article.offset=0&articleLimit=10
205,2019-2학기 '학생성공-글로벌 챌린지 파견교환학생' 장학금 모집 안내,2019-06-03,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=72766&article.offset=0&articleLimit=10
204,학생 성공 Global Challenge 장학금 안내,2019-05-31,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=72729&article.offset=0&articleLimit=10
203,2020-1 파견 교환학생 설명회 및 해외대학 홍보박람회 개최,2019-05-03,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=72171&article.offset=10&articleLimit=10
202,2019-2 교환학생/해외수학생 3차 모집[선착순],2019-04-08,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=71679&article.offset=10&articleLimit=10
201,2019-2 교환학생/해외수학생 3차 모집[선착순],2019-03-06,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=70851&article.offset=10&articleLimit=10
200,2019년 2학기 교환학생/해외수학생 면접 합격자 대상 2차 선발 안내,2019-02-14,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=70083&article.offset=10&articleLimit=10
199,2019 여름방학 해외대학 단기 프로그램 참가자 모집,2019-02-14,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=70077&article.offset=10&articleLimit=10
198,2019학년도 2학기 교환학생/해외수학생 모집 안내,2019-01-08,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=69290&article.offset=10&articleLimit=10
197,2019-2 교환학생 파견가능대학 리스트 공지 (2019.01.18),2018-12-14,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=68681&article.offset=10&articleLimit=10
196,2019-1학기 파견교환학생 장학 선발 안내,2018-11-28,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=68227&article.offset=10&articleLimit=10
195,2019-2 파견 교환학생 설명회 및 해외대학 홍보박람회 개최,2018-11-08,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=67635&article.offset=10&articleLimit=10
194,2018-2학기 파견교환학생 장학 선발 안내,2018-11-02,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=67545&article.offset=10&articleLimit=10
193,2019학년도 1학기 미래에셋 해외 교환장학생 선발 안내,2018-09-04,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=66416&article.offset=20&articleLimit=10
192,2019-1 교환학생/해외수학생 3차 모집[선착순],2018-09-04,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=66415&article.offset=20&articleLimit=10
191,2019년 1학기 교환학생/해외수학생 면접 합격자 대상 2차 선발 안내,2018-08-24,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=66025&article.offset=20&articleLimit=10
190,2019학년도 1학기 교환학생/해외수학생 모집 안내,2018-07-09,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2608&article.offset=20&articleLimit=10
189,[대학원생] 2019-1 Indiana Universtiy 파견교환학생 선발 안내,2018-06-12,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2607&article.offset=20&articleLimit=10
188,국제하계학기 TA/HA 3차 모집 공고,2018-05-16,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2606&article.offset=20&articleLimit=10
187,2019-1 파견 교환학생 설명회 및 해외대학 홍보박람회 개최,2018-05-09,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2605&article.offset=20&articleLimit=10
186,2018 여름 해외파견 프로그램 선발 안내(4차),2018-05-09,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2604&article.offset=20&articleLimit=10
185,ISS 수강료 환불 규정,2018-05-02,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2603&article.offset=20&articleLimit=10
184,2018 국제하계학기 TA/HA/OA 모집 안내,2018-04-24,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2602&article.offset=20&articleLimit=10
183,2018 국제하계학기(ISS) 수강신청 안내,2018-04-19,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2601&article.offset=30&articleLimit=10
182,2018 여름방학 해외대학 단기 프로그램 참가자 모집(3차),2018-04-06,https://www.skku.edu/skku/international/globalComm/international01.do?mode=view&articleNo=2600&article.offset=30&articleLimit=10
