name,nation,remarks,website,available_number,language_condition,one_year_available,course_restriction,not_major_course,keyword,satisfaction,went_number,went_major,image_url
Fontys University of Applied Sciences,네덜란드,,https://fontys.edu/Exchange-programmes-5.htm,5,"IELTS 6.0, 또는 equivalent test score to IELTS",Yes ( Without taking 1 exchange spot),we have exchange programmes and students can only choose from them. https://fontys.edu/Exchange-programmes-5.htm,Yes,"['중간', '알차다', '알뜰하다', '저렴하다', '나쁘다', '마트', '지금', '제일', '보내다', '경우']",4.46,13,"['스포츠과학과', '경영학과', '미디어커뮤니케이션학과', '교육학과', '글로벌경제학과', '글로벌리더학부', '디자인학과', '신문방송학과', '글로벌경영학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQA1S5e7DQMZhHxfbOr9k31Uu90ohjGKAJlMrsCa_-9L7th6fRJzVxOrII
Vrije Universiteit Amsterdam,네덜란드,심리학과 수강 제한,https://www.vu.nl/en/programmes/exchange-semester-amsterdam/exchange/index.aspx,4,"학부 수업 수강 : TOEFL IBT at least 92, IELTS 6.5, Letter of Proficiency 중 한 가지 제출
석사 수업 수강 : IELTS 6.5 (Academic test, General X), 또는 TOEFL IBT 92
",Yes ( With taking 1 exchange spot),"No, only limited capacity in the field of Psychology",Yes,"['여유', '예비', '매우', '힘들다', '외국', '잠깐', '자연', '어떻다', '아깝다', '금방']",4.35,17,"['영어영문학과', '사회학과', '경영학과', '글로벌경영학과', '경제학과', '행정학과', '생명과학과', '심리학과', '신문방송학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcToWN5d7-PmyFxUoLFMLvfTweMI8AVTPwnnSVecbMAJt72u52dBg29cn3w
Radboud University,네덜란드,"단일전공으로 nominate되며, 다른 단과대 수강 가능하나 소속 단과대 수업을 위주로 들어야 함",https://www.ru.nl/io/english/students/incoming-exchange-0/,4,"토플 IBT 79, IELTS 6.0, 토익 670 (단, Reading, Leistening, Speaking, Writing 모두 점수 있어야), a university certificate of an English language course 중 한 가지 제출
★예대★ University certificate 안받음
★경영★ 석사수업 영어 C1 요구
www.ru.nl/exchangestudents/proofofenglish",Yes ( With taking 1 exchange spot),"For participating in the courses at the Faculty of Law, your students need to have a minimum of 1-year relevant study background. ",Yes,"['해도', '과언', '떨어지다', '익숙해지다', '기숙사', '고등학교', '산다', '타지', '평생', '아니다']",4.5,2,"['신문방송학과', '행정학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcR12NRo5WEttZj4MKwyTacC5yVsIJZewaZLTDcujD4uX_qZMGtjuS8I4ROc
Tilburg University ,네덜란드,경영/글로벌경영전공/경제/글로벌경제만 지원가능,www.tilburguniversity.edu/exchange,4,"Letter of Proficiency 제출
중국국적학생 : 토플 IBT 80, 또는 IELTS 6.0 필수 제출 (비자 발급 시 필요)",Yes ( Without taking 1 exchange spot),Exchange students can only take courses that are on the list. Please be aware that for some courses there are no conditions and for some courses conditions are applied. For the list: https://www.tilburguniversity.edu/education/exchange-programs/courses ,Yes,"['소도시', '암스테르담', '생활', '네덜란드', '기타', '한국', '이기', '후회', '틸버그', '동안']",4.83,6,"['경영학과', '중어중문학과', '독어독문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcS8iI7dHTqqFaH_lfB-u-d4XtldllrYk7PtIFPbL69ZgUUoG7Jy00gqg6s
HU University of Applied Sciences Utrecht,네덜란드,"Creative Business, Business, Engineering Studies만 지원 가능",https://www.internationalhu.com/admissions-exchange,"4 (경영학과 2, Institute for Communication: 1, Engineering & Design: 1)","토플 80, IELTS 6.0, 토익 880, a recommendation letter from your home university’s international coordinator or English teacher 중 한 가지 제출
https://www.internationalhu.com/admissions-exchange. ",Yes ( With taking 1 exchange spot),Students cannot attend courses at different departments,No,"['기대', '기억', '시작', '정말', '생활', '이다', '교환학생', '않다', '좋다', '하다']",5.0,1,['영상학과'],http://t1.gstatic.com/images?q=tbn:ANd9GcS7IZrFBiVKd4T53JUO1OL0Ake6pTh4hDmVfW8eqrmB1ZQ7z6Iapfzi_ham
Hanze University of Applied Sciences,네덜란드,School of Communication만 수강 가능,https://www.hanze.nl/eng/study-at-hanze/study-programmes/exchange-courses,2,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),Contract is Only with the School of Communication.,No,"['사람', '말씀', '무조건', '어울리다', '없다', '고민', '여행', '드리다', '해외', '체류']",4.5,2,"['미디어커뮤니케이션학과', '신문방송학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcT57z1I-ZC0wRFvZlk03yKKjTRJmX4iWnPtIzNAJjj0735UXmg1aAffMZgg
The Hague University of Applied Sciences,네덜란드,"Faculty of Business, Finance and Marketing만 수강 가능
타 전공 수강 제한",https://www.thehagueuniversity.com/programmes/other-courses/exchange-programmes/the-thuas-exchange-experience,2,"토플 80, IELTS 6.0, TOEIC 880, Letter of Proficiency 중 한 가지 제출",Yes ( With taking 1 exchange spot),"all departments and faculties are open for exchange, although the student is required to follow courses within the exchange programme he or she has been nominated to. ",Yes,"['자다', '되어다', '어디', '유럽', '다른', '국가', '교통', '네덜란드', '비다', '있다']",4.0,1,['글로벌리더학부'],http://t1.gstatic.com/images?q=tbn:ANd9GcQ8UOtTHDXYCtYVDVvOBRJLol2sj4Rizg7rPAbXsdIg8HbsJxygPC5MEyk
Utrecht University,네덜란드,,,4,"
Bachelor’s: IELTS score minimum: 6.5 (minimum for writing is 5.5); TOEFL score minimum 83; Cambridge: CAE minimum C, CPE minimum C. 
Master’s: IELTS score minimum 6.5 (minimum for writing is 6.0); TOEFL score minimum 93; Cambridge: CAE minimum B, CPE minimum C. ",Yes,,,"['시기', '자유롭다', '익숙해지다', '과목', '가장', '행복하다', '유익하다', '잠시', '세부', '경제학']",4.18,11,"['글로벌경영학과', '경영학과', '심리학과', '영어영문학과', '경제학과', '영상학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcQZw1G551mwMP0Y3G0CRlGZB9PrXYNrH4srKqm_Xgdyy5e8EmwhqJJY47Q8
Leiden University,네덜란드,,https://www.universiteitleiden.nl/en/education/other-modes-of-study/exchange,1,"토플 IBT 90 (Please ask the Educational Testing Service (ETS) to send your scores directly to us (Leiden University TOEFL institution code: 0504)), 또느 IELTS 6.5
",Yes ( With taking 1 exchange spot),only participate in courses that are open for Exchange students,No,"['지옥', '챙기다', '대학', '점도', '동안', '들어오다', '선택', '물다', '가장', '무엇']",4.4,5,"['경제학과', '행정학과', '신문방송학과', '글로벌경영학과', '영어영문학과']",http://t1.gstatic.com/images?q=tbn:ANd9GcTLhDekG5IomxWZkf4vsSiB9v5_So6-KBqJlB5sb4RbZ2mfdSilh8PThxnk
Norwegian university of science and technology,노르웨이,,https://www.ntnu.edu/studies/exchange,3,"IBT TOEFL 90, 또는 IELTS 6.5",Yes ( With taking 1 exchange spot),Architecture and Medical studies are only available for students from partner universities with specific agreements within these fields of study,Yes,,0,0,[],http://t1.gstatic.com/images?q=tbn:ANd9GcQVStXAmVaUKJa_I0cjPxolQ7wJsKzajYRWDeObRvloxAPVHup3VbVIc4o
